adduser	3.118ubuntu5	install ok installed
apt	2.4.14	install ok installed
base-files	12ubuntu4.7	install ok installed
base-passwd	3.5.52build1	install ok installed
bash	5.1-6ubuntu1.1	install ok installed
binutils	2.38-4ubuntu2.12	install ok installed
binutils-common	2.38-4ubuntu2.12	install ok installed
binutils-x86-64-linux-gnu	2.38-4ubuntu2.12	install ok installed
bsdutils	1:2.37.2-4ubuntu3.5	install ok installed
bubblewrap	0.6.1-1ubuntu0.1	install ok installed
build-essential	12.9ubuntu3	install ok installed
bzip2	1.0.8-5build1	install ok installed
ca-certificates	20240203~22.04.1	install ok installed
coreutils	8.32-4.1ubuntu1.3	install ok installed
cpp	4:11.2.0-1ubuntu1	install ok installed
cpp-11	11.4.0-1ubuntu1~22.04.3	install ok installed
curl	7.81.0-1ubuntu1.24	install ok installed
dash	0.5.11+git20210903+057cd650a4ed-3build1	install ok installed
dbus	1.12.20-2ubuntu4.1	install ok installed
debconf	1.5.79ubuntu1	install ok installed
debianutils	5.5-1ubuntu2	install ok installed
diffutils	1:3.8-0ubuntu2	install ok installed
dirmngr	2.2.27-3ubuntu2.5	install ok installed
distro-info-data	0.52ubuntu0.12	install ok installed
dmsetup	2:1.02.175-2.1ubuntu5	install ok installed
dpkg	1.21.1ubuntu2.6	install ok installed
dpkg-dev	1.21.1ubuntu2.6	install ok installed
e2fsprogs	1.46.5-2ubuntu1.2	install ok installed
fakeroot	1.28-1ubuntu1	install ok installed
findutils	4.8.0-1ubuntu3	install ok installed
fontconfig-config	2.13.1-4.2ubuntu5	install ok installed
fonts-dejavu-core	2.37-2build1	install ok installed
g++	4:11.2.0-1ubuntu1	install ok installed
g++-11	11.4.0-1ubuntu1~22.04.3	install ok installed
gcc	4:11.2.0-1ubuntu1	install ok installed
gcc-11	11.4.0-1ubuntu1~22.04.3	install ok installed
gcc-11-base	11.4.0-1ubuntu1~22.04.3	install ok installed
gcc-12-base	12.3.0-1ubuntu1~22.04.3	install ok installed
gh	2.4.0+dfsg1-2	install ok installed
gir1.2-glib-2.0	1.72.0-1	install ok installed
git	1:2.34.1-1ubuntu1.17	install ok installed
git-man	1:2.34.1-1ubuntu1.17	install ok installed
gnupg	2.2.27-3ubuntu2.5	install ok installed
gnupg-l10n	2.2.27-3ubuntu2.5	install ok installed
gnupg-utils	2.2.27-3ubuntu2.5	install ok installed
gpg	2.2.27-3ubuntu2.5	install ok installed
gpg-agent	2.2.27-3ubuntu2.5	install ok installed
gpg-wks-client	2.2.27-3ubuntu2.5	install ok installed
gpg-wks-server	2.2.27-3ubuntu2.5	install ok installed
gpgconf	2.2.27-3ubuntu2.5	install ok installed
gpgsm	2.2.27-3ubuntu2.5	install ok installed
gpgv	2.2.27-3ubuntu2.5	install ok installed
grep	3.7-1build1	install ok installed
gzip	1.10-4ubuntu4.1	install ok installed
hostname	3.23ubuntu2	install ok installed
htop	3.0.5-7build2	install ok installed
init-system-helpers	1.62	install ok installed
javascript-common	11+nmu1	install ok installed
less	590-1ubuntu0.22.04.3	install ok installed
libacl1	2.3.1-1	install ok installed
libalgorithm-diff-perl	1.201-1	install ok installed
libalgorithm-diff-xs-perl	0.04-6build3	install ok installed
libalgorithm-merge-perl	0.08-3	install ok installed
libapparmor1	3.0.4-2ubuntu2.5	install ok installed
libapt-pkg6.0	2.4.14	install ok installed
libargon2-1	0~20171227-0.3	install ok installed
libasan6	11.4.0-1ubuntu1~22.04.3	install ok installed
libassuan0	2.5.5-1build1	install ok installed
libatomic1	12.3.0-1ubuntu1~22.04.3	install ok installed
libattr1	1:2.5.1-1build1	install ok installed
libaudit-common	1:3.0.7-1build1	install ok installed
libaudit1	1:3.0.7-1build1	install ok installed
libbinutils	2.38-4ubuntu2.12	install ok installed
libblkid1	2.37.2-4ubuntu3.5	install ok installed
libbrotli1	1.0.9-2build6	install ok installed
libbsd0	0.11.5-1	install ok installed
libbz2-1.0	1.0.8-5build1	install ok installed
libc-bin	2.35-0ubuntu3.13	install ok installed
libc-dev-bin	2.35-0ubuntu3.13	install ok installed
libc-devtools	2.35-0ubuntu3.13	install ok installed
libc6	2.35-0ubuntu3.13	install ok installed
libc6-dev	2.35-0ubuntu3.13	install ok installed
libcap-ng0	0.7.9-2.2build3	install ok installed
libcap2	1:2.44-1ubuntu0.22.04.3	install ok installed
libcbor0.8	0.8.0-2ubuntu1	install ok installed
libcc1-0	12.3.0-1ubuntu1~22.04.3	install ok installed
libcom-err2	1.46.5-2ubuntu1.2	install ok installed
libcrypt-dev	1:4.4.27-1	install ok installed
libcrypt1	1:4.4.27-1	install ok installed
libcryptsetup12	2:2.4.3-1ubuntu1.3	install ok installed
libctf-nobfd0	2.38-4ubuntu2.12	install ok installed
libctf0	2.38-4ubuntu2.12	install ok installed
libcurl3-gnutls	7.81.0-1ubuntu1.24	install ok installed
